,Ligand,Receptor,Pathway,Category
491,Wnt6,Lrp5,WNT,Secreted Signaling
492,Wnt6,Fzd4,WNT,Secreted Signaling
493,Wnt6,Lrp5,WNT,Secreted Signaling
494,Wnt6,Fzd5,WNT,Secreted Signaling
495,Wnt6,Lrp5,WNT,Secreted Signaling
496,Wnt6,Fzd6,WNT,Secreted Signaling
497,Wnt6,Lrp5,WNT,Secreted Signaling
498,Wnt6,Fzd7,WNT,Secreted Signaling
499,Wnt6,Lrp5,WNT,Secreted Signaling
500,Wnt6,Fzd8,WNT,Secreted Signaling
501,Wnt6,Lrp5,WNT,Secreted Signaling
502,Wnt6,Fzd9,WNT,Secreted Signaling
503,Wnt6,Lrp5,WNT,Secreted Signaling
504,Wnt7a,Fzd1,WNT,Secreted Signaling
505,Wnt7a,Lrp5,WNT,Secreted Signaling
506,Wnt7a,Fzd10,WNT,Secreted Signaling
507,Wnt7a,Lrp5,WNT,Secreted Signaling
508,Wnt7a,Fzd2,WNT,Secreted Signaling
509,Wnt7a,Lrp5,WNT,Secreted Signaling
510,Wnt7a,Fzd3,WNT,Secreted Signaling
511,Wnt7a,Lrp5,WNT,Secreted Signaling
512,Wnt7a,Fzd4,WNT,Secreted Signaling
513,Wnt7a,Lrp5,WNT,Secreted Signaling
514,Wnt7a,Fzd5,WNT,Secreted Signaling
515,Wnt7a,Lrp5,WNT,Secreted Signaling
516,Wnt7a,Fzd6,WNT,Secreted Signaling
517,Wnt7a,Lrp5,WNT,Secreted Signaling
518,Wnt7a,Fzd7,WNT,Secreted Signaling
519,Wnt7a,Lrp5,WNT,Secreted Signaling
520,Wnt7a,Fzd8,WNT,Secreted Signaling
521,Wnt7a,Lrp5,WNT,Secreted Signaling
522,Wnt7a,Fzd9,WNT,Secreted Signaling
523,Wnt7a,Lrp5,WNT,Secreted Signaling
524,Wnt7b,Fzd1,WNT,Secreted Signaling
525,Wnt7b,Lrp5,WNT,Secreted Signaling
526,Wnt7b,Fzd10,WNT,Secreted Signaling
527,Wnt7b,Lrp5,WNT,Secreted Signaling
528,Wnt7b,Fzd2,WNT,Secreted Signaling
529,Wnt7b,Lrp5,WNT,Secreted Signaling
530,Wnt7b,Fzd3,WNT,Secreted Signaling
531,Wnt7b,Lrp5,WNT,Secreted Signaling
532,Wnt7b,Fzd4,WNT,Secreted Signaling
533,Wnt7b,Lrp5,WNT,Secreted Signaling
534,Wnt7b,Fzd5,WNT,Secreted Signaling
535,Wnt7b,Lrp5,WNT,Secreted Signaling
536,Wnt7b,Fzd6,WNT,Secreted Signaling
537,Wnt7b,Lrp5,WNT,Secreted Signaling
538,Wnt7b,Fzd7,WNT,Secreted Signaling
539,Wnt7b,Lrp5,WNT,Secreted Signaling
540,Wnt7b,Fzd8,WNT,Secreted Signaling
541,Wnt7b,Lrp5,WNT,Secreted Signaling
542,Wnt7b,Fzd9,WNT,Secreted Signaling
543,Wnt7b,Lrp5,WNT,Secreted Signaling
544,Wnt8a,Fzd1,WNT,Secreted Signaling
545,Wnt8a,Lrp5,WNT,Secreted Signaling
546,Wnt8a,Fzd10,WNT,Secreted Signaling
547,Wnt8a,Lrp5,WNT,Secreted Signaling
548,Wnt8a,Fzd2,WNT,Secreted Signaling
549,Wnt8a,Lrp5,WNT,Secreted Signaling
550,Wnt8a,Fzd3,WNT,Secreted Signaling
551,Wnt8a,Lrp5,WNT,Secreted Signaling
552,Wnt8a,Fzd4,WNT,Secreted Signaling
553,Wnt8a,Lrp5,WNT,Secreted Signaling
554,Wnt8a,Fzd5,WNT,Secreted Signaling
555,Wnt8a,Lrp5,WNT,Secreted Signaling
556,Wnt8a,Fzd6,WNT,Secreted Signaling
557,Wnt8a,Lrp5,WNT,Secreted Signaling
558,Wnt8a,Fzd7,WNT,Secreted Signaling
559,Wnt8a,Lrp5,WNT,Secreted Signaling
560,Wnt8a,Fzd8,WNT,Secreted Signaling
561,Wnt8a,Lrp5,WNT,Secreted Signaling
562,Wnt8a,Fzd9,WNT,Secreted Signaling
563,Wnt8a,Lrp5,WNT,Secreted Signaling
564,Wnt8b,Fzd1,WNT,Secreted Signaling
565,Wnt8b,Lrp5,WNT,Secreted Signaling
566,Wnt8b,Fzd10,WNT,Secreted Signaling
567,Wnt8b,Lrp5,WNT,Secreted Signaling
568,Wnt8b,Fzd2,WNT,Secreted Signaling
569,Wnt8b,Lrp5,WNT,Secreted Signaling
570,Wnt8b,Fzd3,WNT,Secreted Signaling
571,Wnt8b,Lrp5,WNT,Secreted Signaling
572,Wnt8b,Fzd4,WNT,Secreted Signaling
573,Wnt8b,Lrp5,WNT,Secreted Signaling
574,Wnt8b,Fzd5,WNT,Secreted Signaling
575,Wnt8b,Lrp5,WNT,Secreted Signaling
576,Wnt8b,Fzd6,WNT,Secreted Signaling
577,Wnt8b,Lrp5,WNT,Secreted Signaling
578,Wnt8b,Fzd7,WNT,Secreted Signaling
579,Wnt8b,Lrp5,WNT,Secreted Signaling
580,Wnt8b,Fzd8,WNT,Secreted Signaling
581,Wnt8b,Lrp5,WNT,Secreted Signaling
582,Wnt8b,Fzd9,WNT,Secreted Signaling
583,Wnt8b,Lrp5,WNT,Secreted Signaling
584,Wnt9a,Fzd1,WNT,Secreted Signaling
585,Wnt9a,Lrp5,WNT,Secreted Signaling
586,Wnt9a,Fzd10,WNT,Secreted Signaling
587,Wnt9a,Lrp5,WNT,Secreted Signaling
588,Wnt9a,Fzd2,WNT,Secreted Signaling
589,Wnt9a,Lrp5,WNT,Secreted Signaling
590,Wnt9a,Fzd3,WNT,Secreted Signaling
591,Wnt9a,Lrp5,WNT,Secreted Signaling
592,Wnt9a,Fzd4,WNT,Secreted Signaling
593,Wnt9a,Lrp5,WNT,Secreted Signaling
594,Wnt9a,Fzd5,WNT,Secreted Signaling
595,Wnt9a,Lrp5,WNT,Secreted Signaling
596,Wnt9a,Fzd6,WNT,Secreted Signaling
597,Wnt9a,Lrp5,WNT,Secreted Signaling
598,Wnt9a,Fzd7,WNT,Secreted Signaling
599,Wnt9a,Lrp5,WNT,Secreted Signaling
600,Wnt9a,Fzd8,WNT,Secreted Signaling
601,Wnt9a,Lrp5,WNT,Secreted Signaling
602,Wnt9a,Fzd9,WNT,Secreted Signaling
603,Wnt9a,Lrp5,WNT,Secreted Signaling
604,Wnt9b,Fzd1,WNT,Secreted Signaling
605,Wnt9b,Lrp5,WNT,Secreted Signaling
606,Wnt9b,Fzd10,WNT,Secreted Signaling
607,Wnt9b,Lrp5,WNT,Secreted Signaling
608,Wnt9b,Fzd2,WNT,Secreted Signaling
609,Wnt9b,Lrp5,WNT,Secreted Signaling
610,Wnt9b,Fzd3,WNT,Secreted Signaling
611,Wnt9b,Lrp5,WNT,Secreted Signaling
612,Wnt9b,Fzd4,WNT,Secreted Signaling
613,Wnt9b,Lrp5,WNT,Secreted Signaling
614,Wnt9b,Fzd5,WNT,Secreted Signaling
615,Wnt9b,Lrp5,WNT,Secreted Signaling
616,Wnt9b,Fzd6,WNT,Secreted Signaling
617,Wnt9b,Lrp5,WNT,Secreted Signaling
618,Wnt9b,Fzd7,WNT,Secreted Signaling
619,Wnt9b,Lrp5,WNT,Secreted Signaling
620,Wnt9b,Fzd8,WNT,Secreted Signaling
621,Wnt9b,Lrp5,WNT,Secreted Signaling
622,Wnt9b,Fzd9,WNT,Secreted Signaling
623,Wnt9b,Lrp5,WNT,Secreted Signaling
624,Wnt1,Fzd1,WNT,Secreted Signaling
625,Wnt1,Lrp6,WNT,Secreted Signaling
626,Wnt1,Fzd10,WNT,Secreted Signaling
627,Wnt1,Lrp6,WNT,Secreted Signaling
628,Wnt1,Fzd2,WNT,Secreted Signaling
629,Wnt1,Lrp6,WNT,Secreted Signaling
630,Wnt1,Fzd3,WNT,Secreted Signaling
631,Wnt1,Lrp6,WNT,Secreted Signaling
632,Wnt1,Fzd4,WNT,Secreted Signaling
633,Wnt1,Lrp6,WNT,Secreted Signaling
634,Wnt1,Fzd5,WNT,Secreted Signaling
635,Wnt1,Lrp6,WNT,Secreted Signaling
636,Wnt1,Fzd6,WNT,Secreted Signaling
637,Wnt1,Lrp6,WNT,Secreted Signaling
638,Wnt1,Fzd7,WNT,Secreted Signaling
639,Wnt1,Lrp6,WNT,Secreted Signaling
640,Wnt1,Fzd8,WNT,Secreted Signaling
641,Wnt1,Lrp6,WNT,Secreted Signaling
642,Wnt1,Fzd9,WNT,Secreted Signaling
643,Wnt1,Lrp6,WNT,Secreted Signaling
644,Wnt10a,Fzd1,WNT,Secreted Signaling
645,Wnt10a,Lrp6,WNT,Secreted Signaling
646,Wnt10a,Fzd10,WNT,Secreted Signaling
647,Wnt10a,Lrp6,WNT,Secreted Signaling
648,Wnt10a,Fzd2,WNT,Secreted Signaling
649,Wnt10a,Lrp6,WNT,Secreted Signaling
650,Wnt10a,Fzd3,WNT,Secreted Signaling
651,Wnt10a,Lrp6,WNT,Secreted Signaling
652,Wnt10a,Fzd4,WNT,Secreted Signaling
653,Wnt10a,Lrp6,WNT,Secreted Signaling
654,Wnt10a,Fzd5,WNT,Secreted Signaling
655,Wnt10a,Lrp6,WNT,Secreted Signaling
656,Wnt10a,Fzd6,WNT,Secreted Signaling
657,Wnt10a,Lrp6,WNT,Secreted Signaling
658,Wnt10a,Fzd7,WNT,Secreted Signaling
659,Wnt10a,Lrp6,WNT,Secreted Signaling
660,Wnt10a,Fzd8,WNT,Secreted Signaling
661,Wnt10a,Lrp6,WNT,Secreted Signaling
662,Wnt10a,Fzd9,WNT,Secreted Signaling
663,Wnt10a,Lrp6,WNT,Secreted Signaling
664,Wnt10b,Fzd1,WNT,Secreted Signaling
665,Wnt10b,Lrp6,WNT,Secreted Signaling
666,Wnt10b,Fzd10,WNT,Secreted Signaling
667,Wnt10b,Lrp6,WNT,Secreted Signaling
668,Wnt10b,Fzd2,WNT,Secreted Signaling
669,Wnt10b,Lrp6,WNT,Secreted Signaling
670,Wnt10b,Fzd3,WNT,Secreted Signaling
671,Wnt10b,Lrp6,WNT,Secreted Signaling
672,Wnt10b,Fzd4,WNT,Secreted Signaling
673,Wnt10b,Lrp6,WNT,Secreted Signaling
674,Wnt10b,Fzd5,WNT,Secreted Signaling
675,Wnt10b,Lrp6,WNT,Secreted Signaling
676,Wnt10b,Fzd6,WNT,Secreted Signaling
677,Wnt10b,Lrp6,WNT,Secreted Signaling
678,Wnt10b,Fzd7,WNT,Secreted Signaling
679,Wnt10b,Lrp6,WNT,Secreted Signaling
680,Wnt10b,Fzd8,WNT,Secreted Signaling
681,Wnt10b,Lrp6,WNT,Secreted Signaling
682,Wnt10b,Fzd9,WNT,Secreted Signaling
683,Wnt10b,Lrp6,WNT,Secreted Signaling
684,Wnt16,Fzd1,WNT,Secreted Signaling
685,Wnt16,Lrp6,WNT,Secreted Signaling
686,Wnt16,Fzd10,WNT,Secreted Signaling
687,Wnt16,Lrp6,WNT,Secreted Signaling
688,Wnt16,Fzd2,WNT,Secreted Signaling
689,Wnt16,Lrp6,WNT,Secreted Signaling
690,Wnt16,Fzd3,WNT,Secreted Signaling
691,Wnt16,Lrp6,WNT,Secreted Signaling
692,Wnt16,Fzd4,WNT,Secreted Signaling
693,Wnt16,Lrp6,WNT,Secreted Signaling
694,Wnt16,Fzd5,WNT,Secreted Signaling
695,Wnt16,Lrp6,WNT,Secreted Signaling
696,Wnt16,Fzd6,WNT,Secreted Signaling
697,Wnt16,Lrp6,WNT,Secreted Signaling
698,Wnt16,Fzd7,WNT,Secreted Signaling
699,Wnt16,Lrp6,WNT,Secreted Signaling
700,Wnt16,Fzd8,WNT,Secreted Signaling
701,Wnt16,Lrp6,WNT,Secreted Signaling
702,Wnt16,Fzd9,WNT,Secreted Signaling
703,Wnt16,Lrp6,WNT,Secreted Signaling
704,Wnt2,Fzd1,WNT,Secreted Signaling
705,Wnt2,Lrp6,WNT,Secreted Signaling
706,Wnt2,Fzd10,WNT,Secreted Signaling
707,Wnt2,Lrp6,WNT,Secreted Signaling
708,Wnt2,Fzd2,WNT,Secreted Signaling
709,Wnt2,Lrp6,WNT,Secreted Signaling
710,Wnt2,Fzd3,WNT,Secreted Signaling
711,Wnt2,Lrp6,WNT,Secreted Signaling
712,Wnt2,Fzd4,WNT,Secreted Signaling
713,Wnt2,Lrp6,WNT,Secreted Signaling
714,Wnt2,Fzd5,WNT,Secreted Signaling
715,Wnt2,Lrp6,WNT,Secreted Signaling
716,Wnt2,Fzd6,WNT,Secreted Signaling
717,Wnt2,Lrp6,WNT,Secreted Signaling
718,Wnt2,Fzd7,WNT,Secreted Signaling
719,Wnt2,Lrp6,WNT,Secreted Signaling
720,Wnt2,Fzd8,WNT,Secreted Signaling
721,Wnt2,Lrp6,WNT,Secreted Signaling
722,Wnt2,Fzd9,WNT,Secreted Signaling
723,Wnt2,Lrp6,WNT,Secreted Signaling
724,Wnt2b,Fzd1,WNT,Secreted Signaling
725,Wnt2b,Lrp6,WNT,Secreted Signaling
726,Wnt2b,Fzd10,WNT,Secreted Signaling
727,Wnt2b,Lrp6,WNT,Secreted Signaling
728,Wnt2b,Fzd2,WNT,Secreted Signaling
729,Wnt2b,Lrp6,WNT,Secreted Signaling
730,Wnt2b,Fzd3,WNT,Secreted Signaling
731,Wnt2b,Lrp6,WNT,Secreted Signaling
732,Wnt2b,Fzd4,WNT,Secreted Signaling
733,Wnt2b,Lrp6,WNT,Secreted Signaling
734,Wnt2b,Fzd5,WNT,Secreted Signaling
735,Wnt2b,Lrp6,WNT,Secreted Signaling
736,Wnt2b,Fzd6,WNT,Secreted Signaling
737,Wnt2b,Lrp6,WNT,Secreted Signaling
738,Wnt2b,Fzd7,WNT,Secreted Signaling
739,Wnt2b,Lrp6,WNT,Secreted Signaling
740,Wnt2b,Fzd8,WNT,Secreted Signaling
741,Wnt2b,Lrp6,WNT,Secreted Signaling
742,Wnt2b,Fzd9,WNT,Secreted Signaling
743,Wnt2b,Lrp6,WNT,Secreted Signaling
744,Wnt3,Fzd1,WNT,Secreted Signaling
745,Wnt3,Lrp6,WNT,Secreted Signaling
746,Wnt3,Fzd10,WNT,Secreted Signaling
747,Wnt3,Lrp6,WNT,Secreted Signaling
748,Wnt3,Fzd2,WNT,Secreted Signaling
749,Wnt3,Lrp6,WNT,Secreted Signaling
750,Wnt3,Fzd3,WNT,Secreted Signaling
751,Wnt3,Lrp6,WNT,Secreted Signaling
752,Wnt3,Fzd4,WNT,Secreted Signaling
753,Wnt3,Lrp6,WNT,Secreted Signaling
754,Wnt3,Fzd5,WNT,Secreted Signaling
755,Wnt3,Lrp6,WNT,Secreted Signaling
756,Wnt3,Fzd6,WNT,Secreted Signaling
757,Wnt3,Lrp6,WNT,Secreted Signaling
758,Wnt3,Fzd7,WNT,Secreted Signaling
759,Wnt3,Lrp6,WNT,Secreted Signaling
760,Wnt3,Fzd8,WNT,Secreted Signaling
761,Wnt3,Lrp6,WNT,Secreted Signaling
762,Wnt3,Fzd9,WNT,Secreted Signaling
763,Wnt3,Lrp6,WNT,Secreted Signaling
764,Wnt3a,Fzd1,WNT,Secreted Signaling
765,Wnt3a,Lrp6,WNT,Secreted Signaling
766,Wnt3a,Fzd10,WNT,Secreted Signaling
767,Wnt3a,Lrp6,WNT,Secreted Signaling
768,Wnt3a,Fzd2,WNT,Secreted Signaling
769,Wnt3a,Lrp6,WNT,Secreted Signaling
770,Wnt3a,Fzd3,WNT,Secreted Signaling
771,Wnt3a,Lrp6,WNT,Secreted Signaling
772,Wnt3a,Fzd4,WNT,Secreted Signaling
773,Wnt3a,Lrp6,WNT,Secreted Signaling
774,Wnt3a,Fzd5,WNT,Secreted Signaling
775,Wnt3a,Lrp6,WNT,Secreted Signaling
776,Wnt3a,Fzd6,WNT,Secreted Signaling
777,Wnt3a,Lrp6,WNT,Secreted Signaling
778,Wnt3a,Fzd7,WNT,Secreted Signaling
779,Wnt3a,Lrp6,WNT,Secreted Signaling
780,Wnt3a,Fzd8,WNT,Secreted Signaling
781,Wnt3a,Lrp6,WNT,Secreted Signaling
782,Wnt3a,Fzd9,WNT,Secreted Signaling
783,Wnt3a,Lrp6,WNT,Secreted Signaling
784,Wnt4,Fzd1,WNT,Secreted Signaling
785,Wnt4,Lrp6,WNT,Secreted Signaling
786,Wnt4,Fzd10,WNT,Secreted Signaling
787,Wnt4,Lrp6,WNT,Secreted Signaling
788,Wnt4,Fzd2,WNT,Secreted Signaling
789,Wnt4,Lrp6,WNT,Secreted Signaling
790,Wnt4,Fzd3,WNT,Secreted Signaling
791,Wnt4,Lrp6,WNT,Secreted Signaling
792,Wnt4,Fzd4,WNT,Secreted Signaling
793,Wnt4,Lrp6,WNT,Secreted Signaling
794,Wnt4,Fzd5,WNT,Secreted Signaling
795,Wnt4,Lrp6,WNT,Secreted Signaling
796,Wnt4,Fzd6,WNT,Secreted Signaling
797,Wnt4,Lrp6,WNT,Secreted Signaling
798,Wnt4,Fzd7,WNT,Secreted Signaling
799,Wnt4,Lrp6,WNT,Secreted Signaling
800,Wnt4,Fzd8,WNT,Secreted Signaling
801,Wnt4,Lrp6,WNT,Secreted Signaling
802,Wnt4,Fzd9,WNT,Secreted Signaling
803,Wnt4,Lrp6,WNT,Secreted Signaling
804,Wnt6,Fzd1,WNT,Secreted Signaling
805,Wnt6,Lrp6,WNT,Secreted Signaling
806,Wnt6,Fzd10,WNT,Secreted Signaling
807,Wnt6,Lrp6,WNT,Secreted Signaling
808,Wnt6,Fzd2,WNT,Secreted Signaling
809,Wnt6,Lrp6,WNT,Secreted Signaling
810,Wnt6,Fzd3,WNT,Secreted Signaling
811,Wnt6,Lrp6,WNT,Secreted Signaling
812,Wnt6,Fzd4,WNT,Secreted Signaling
813,Wnt6,Lrp6,WNT,Secreted Signaling
814,Wnt6,Fzd5,WNT,Secreted Signaling
815,Wnt6,Lrp6,WNT,Secreted Signaling
816,Wnt6,Fzd6,WNT,Secreted Signaling
817,Wnt6,Lrp6,WNT,Secreted Signaling
818,Wnt6,Fzd7,WNT,Secreted Signaling
819,Wnt6,Lrp6,WNT,Secreted Signaling
820,Wnt6,Fzd8,WNT,Secreted Signaling
821,Wnt6,Lrp6,WNT,Secreted Signaling
822,Wnt6,Fzd9,WNT,Secreted Signaling
823,Wnt6,Lrp6,WNT,Secreted Signaling
824,Wnt7a,Fzd1,WNT,Secreted Signaling
825,Wnt7a,Lrp6,WNT,Secreted Signaling
826,Wnt7a,Fzd10,WNT,Secreted Signaling
827,Wnt7a,Lrp6,WNT,Secreted Signaling
828,Wnt7a,Fzd2,WNT,Secreted Signaling
829,Wnt7a,Lrp6,WNT,Secreted Signaling
830,Wnt7a,Fzd3,WNT,Secreted Signaling
831,Wnt7a,Lrp6,WNT,Secreted Signaling
832,Wnt7a,Fzd4,WNT,Secreted Signaling
833,Wnt7a,Lrp6,WNT,Secreted Signaling
834,Wnt7a,Fzd5,WNT,Secreted Signaling
835,Wnt7a,Lrp6,WNT,Secreted Signaling
836,Wnt7a,Fzd6,WNT,Secreted Signaling
837,Wnt7a,Lrp6,WNT,Secreted Signaling
838,Wnt7a,Fzd7,WNT,Secreted Signaling
839,Wnt7a,Lrp6,WNT,Secreted Signaling
840,Wnt7a,Fzd8,WNT,Secreted Signaling
841,Wnt7a,Lrp6,WNT,Secreted Signaling
842,Wnt7a,Fzd9,WNT,Secreted Signaling
843,Wnt7a,Lrp6,WNT,Secreted Signaling
844,Wnt7b,Fzd1,WNT,Secreted Signaling
845,Wnt7b,Lrp6,WNT,Secreted Signaling
846,Wnt7b,Fzd10,WNT,Secreted Signaling
847,Wnt7b,Lrp6,WNT,Secreted Signaling
848,Wnt7b,Fzd2,WNT,Secreted Signaling
849,Wnt7b,Lrp6,WNT,Secreted Signaling
850,Wnt7b,Fzd3,WNT,Secreted Signaling
851,Wnt7b,Lrp6,WNT,Secreted Signaling
852,Wnt7b,Fzd4,WNT,Secreted Signaling
853,Wnt7b,Lrp6,WNT,Secreted Signaling
854,Wnt7b,Fzd5,WNT,Secreted Signaling
855,Wnt7b,Lrp6,WNT,Secreted Signaling
856,Wnt7b,Fzd6,WNT,Secreted Signaling
857,Wnt7b,Lrp6,WNT,Secreted Signaling
858,Wnt7b,Fzd7,WNT,Secreted Signaling
859,Wnt7b,Lrp6,WNT,Secreted Signaling
860,Wnt7b,Fzd8,WNT,Secreted Signaling
861,Wnt7b,Lrp6,WNT,Secreted Signaling
862,Wnt7b,Fzd9,WNT,Secreted Signaling
863,Wnt7b,Lrp6,WNT,Secreted Signaling
864,Wnt8a,Fzd1,WNT,Secreted Signaling
865,Wnt8a,Lrp6,WNT,Secreted Signaling
866,Wnt8a,Fzd10,WNT,Secreted Signaling
867,Wnt8a,Lrp6,WNT,Secreted Signaling
868,Wnt8a,Fzd2,WNT,Secreted Signaling
869,Wnt8a,Lrp6,WNT,Secreted Signaling
870,Wnt8a,Fzd3,WNT,Secreted Signaling
871,Wnt8a,Lrp6,WNT,Secreted Signaling
872,Wnt8a,Fzd4,WNT,Secreted Signaling
873,Wnt8a,Lrp6,WNT,Secreted Signaling
874,Wnt8a,Fzd5,WNT,Secreted Signaling
875,Wnt8a,Lrp6,WNT,Secreted Signaling
876,Wnt8a,Fzd6,WNT,Secreted Signaling
877,Wnt8a,Lrp6,WNT,Secreted Signaling
878,Wnt8a,Fzd7,WNT,Secreted Signaling
879,Wnt8a,Lrp6,WNT,Secreted Signaling
880,Wnt8a,Fzd8,WNT,Secreted Signaling
881,Wnt8a,Lrp6,WNT,Secreted Signaling
882,Wnt8a,Fzd9,WNT,Secreted Signaling
883,Wnt8a,Lrp6,WNT,Secreted Signaling
884,Wnt8b,Fzd1,WNT,Secreted Signaling
885,Wnt8b,Lrp6,WNT,Secreted Signaling
886,Wnt8b,Fzd10,WNT,Secreted Signaling
887,Wnt8b,Lrp6,WNT,Secreted Signaling
888,Wnt8b,Fzd2,WNT,Secreted Signaling
889,Wnt8b,Lrp6,WNT,Secreted Signaling
890,Wnt8b,Fzd3,WNT,Secreted Signaling
891,Wnt8b,Lrp6,WNT,Secreted Signaling
892,Wnt8b,Fzd4,WNT,Secreted Signaling
893,Wnt8b,Lrp6,WNT,Secreted Signaling
894,Wnt8b,Fzd5,WNT,Secreted Signaling
895,Wnt8b,Lrp6,WNT,Secreted Signaling
896,Wnt8b,Fzd6,WNT,Secreted Signaling
897,Wnt8b,Lrp6,WNT,Secreted Signaling
898,Wnt8b,Fzd7,WNT,Secreted Signaling
899,Wnt8b,Lrp6,WNT,Secreted Signaling
900,Wnt8b,Fzd8,WNT,Secreted Signaling
901,Wnt8b,Lrp6,WNT,Secreted Signaling
902,Wnt8b,Fzd9,WNT,Secreted Signaling
903,Wnt8b,Lrp6,WNT,Secreted Signaling
904,Wnt9a,Fzd1,WNT,Secreted Signaling
905,Wnt9a,Lrp6,WNT,Secreted Signaling
906,Wnt9a,Fzd10,WNT,Secreted Signaling
907,Wnt9a,Lrp6,WNT,Secreted Signaling
908,Wnt9a,Fzd2,WNT,Secreted Signaling
909,Wnt9a,Lrp6,WNT,Secreted Signaling
910,Wnt9a,Fzd3,WNT,Secreted Signaling
911,Wnt9a,Lrp6,WNT,Secreted Signaling
912,Wnt9a,Fzd4,WNT,Secreted Signaling
913,Wnt9a,Lrp6,WNT,Secreted Signaling
914,Wnt9a,Fzd5,WNT,Secreted Signaling
915,Wnt9a,Lrp6,WNT,Secreted Signaling
916,Wnt9a,Fzd6,WNT,Secreted Signaling
917,Wnt9a,Lrp6,WNT,Secreted Signaling
918,Wnt9a,Fzd7,WNT,Secreted Signaling
919,Wnt9a,Lrp6,WNT,Secreted Signaling
920,Wnt9a,Fzd8,WNT,Secreted Signaling
921,Wnt9a,Lrp6,WNT,Secreted Signaling
922,Wnt9a,Fzd9,WNT,Secreted Signaling
923,Wnt9a,Lrp6,WNT,Secreted Signaling
924,Wnt9b,Fzd1,WNT,Secreted Signaling
925,Wnt9b,Lrp6,WNT,Secreted Signaling
926,Wnt9b,Fzd10,WNT,Secreted Signaling
927,Wnt9b,Lrp6,WNT,Secreted Signaling
928,Wnt9b,Fzd2,WNT,Secreted Signaling
929,Wnt9b,Lrp6,WNT,Secreted Signaling
930,Wnt9b,Fzd3,WNT,Secreted Signaling
931,Wnt9b,Lrp6,WNT,Secreted Signaling
932,Wnt9b,Fzd4,WNT,Secreted Signaling
933,Wnt9b,Lrp6,WNT,Secreted Signaling
934,Wnt9b,Fzd5,WNT,Secreted Signaling
935,Wnt9b,Lrp6,WNT,Secreted Signaling
936,Wnt9b,Fzd6,WNT,Secreted Signaling
937,Wnt9b,Lrp6,WNT,Secreted Signaling
938,Wnt9b,Fzd7,WNT,Secreted Signaling
939,Wnt9b,Lrp6,WNT,Secreted Signaling
940,Wnt9b,Fzd8,WNT,Secreted Signaling
941,Wnt9b,Lrp6,WNT,Secreted Signaling
942,Wnt9b,Fzd9,WNT,Secreted Signaling
943,Wnt9b,Lrp6,WNT,Secreted Signaling
944,Wnt5a,Fzd1,ncWNT,Secreted Signaling
945,Wnt5a,Fzd10,ncWNT,Secreted Signaling
946,Wnt5a,Fzd2,ncWNT,Secreted Signaling
947,Wnt5a,Fzd3,ncWNT,Secreted Signaling
948,Wnt5a,Fzd4,ncWNT,Secreted Signaling
949,Wnt5a,Fzd5,ncWNT,Secreted Signaling
950,Wnt5a,Fzd6,ncWNT,Secreted Signaling
951,Wnt5a,Fzd7,ncWNT,Secreted Signaling
952,Wnt5a,Fzd8,ncWNT,Secreted Signaling
953,Wnt5a,Fzd9,ncWNT,Secreted Signaling
954,Wnt5a,Mcam,ncWNT,Secreted Signaling
955,Wnt5b,Fzd1,ncWNT,Secreted Signaling
956,Wnt5b,Fzd10,ncWNT,Secreted Signaling
957,Wnt5b,Fzd2,ncWNT,Secreted Signaling
958,Wnt5b,Fzd3,ncWNT,Secreted Signaling
959,Wnt5b,Fzd4,ncWNT,Secreted Signaling
960,Wnt5b,Fzd5,ncWNT,Secreted Signaling
961,Wnt5b,Fzd6,ncWNT,Secreted Signaling
962,Wnt5b,Fzd7,ncWNT,Secreted Signaling
963,Wnt5b,Fzd8,ncWNT,Secreted Signaling
964,Wnt5b,Fzd9,ncWNT,Secreted Signaling
965,Wnt11,Fzd1,ncWNT,Secreted Signaling
966,Wnt11,Fzd10,ncWNT,Secreted Signaling
967,Wnt11,Fzd2,ncWNT,Secreted Signaling
968,Wnt11,Fzd3,ncWNT,Secreted Signaling
969,Wnt11,Fzd4,ncWNT,Secreted Signaling
970,Wnt11,Fzd5,ncWNT,Secreted Signaling
971,Wnt11,Fzd6,ncWNT,Secreted Signaling
972,Wnt11,Fzd7,ncWNT,Secreted Signaling
973,Wnt11,Fzd8,ncWNT,Secreted Signaling
974,Wnt11,Fzd9,ncWNT,Secreted Signaling
975,Egf,Egfr,EGF,Secreted Signaling
976,Egf,Egfr,EGF,Secreted Signaling
977,Egf,Erbb2,EGF,Secreted Signaling
978,Tgfa,Egfr,EGF,Secreted Signaling
979,Tgfa,Egfr,EGF,Secreted Signaling
980,Tgfa,Erbb2,EGF,Secreted Signaling
981,Areg,Egfr,EGF,Secreted Signaling
982,Areg,Egfr,EGF,Secreted Signaling
983,Areg,Erbb2,EGF,Secreted Signaling
984,Btc,Egfr,EGF,Secreted Signaling
985,Btc,Egfr,EGF,Secreted Signaling
986,Btc,Erbb2,EGF,Secreted Signaling
987,Btc,Erbb4,EGF,Secreted Signaling
988,Btc,Erbb2,EGF,Secreted Signaling
989,Btc,Erbb4,EGF,Secreted Signaling
990,Hbegf,Egfr,EGF,Secreted Signaling
991,Hbegf,Egfr,EGF,Secreted Signaling
992,Hbegf,Erbb2,EGF,Secreted Signaling
993,Hbegf,Erbb4,EGF,Secreted Signaling
994,Hbegf,Erbb2,EGF,Secreted Signaling
